signal,prompt,human_response,human_correctness,n_words,hits,transcript_enhanced,transcript_clean,hidden_file
S08558_L0227_E001,finally allow time for discussion and evaluation of the visit,to get to,0.0,10,0,"Finally, allow time for discussion and evaluation of the visit.","Finally, allow time for discussion and evaluation of the visit.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08558_L0227_E001.pt
S08561_L0239_E001,i predict that the car will crash,,0.0,7,0,I'm protected by the global pressure.,I predict that the car will crash.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08561_L0239_E001.pt
S08566_L0218_E001,there was an unkempt look about him,,0.0,7,0,Shhhhhh,There was an unkempt look about him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08566_L0218_E001.pt
S08574_L0206_E001,he couldn't make any sense of it at all,,0.0,9,0,Thanks for watching!,He couldn't make any sense of it at all.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08574_L0206_E001.pt
S08574_L0212_E001,he couldn't make any sense of it at all,,0.0,9,0,We couldn't get a sense of the time.,He couldn't make any sense of it at all.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08574_L0212_E001.pt
S08575_L0240_E001,his voice strained like a young stallion on a halter,his voice changed like a young scallion on a hottie ,70.0,10,7,His voice strained like a young scaring on a hotel.,His voice strained like a young stallion on a halter.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08575_L0240_E001.pt
S08576_L0229_E001,stay in the car if you don't mind,apart,0.0,8,0,Stay in the car if you don't mind.,Stay in the car if you don't mind.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08576_L0229_E001.pt
S08578_L0224_E001,get out of my way at once,,0.0,7,0,Sizzling,Get out of my way at once.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08578_L0224_E001.pt
S08579_L0219_E001,he heard them whispering by the door,we heard,14.2857142857,7,1,We have a mustering by the Google.,He heard them whispering by the door.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08579_L0219_E001.pt
S08579_L0225_E001,he heard them whispering by the door,he heard whispering by the door,85.7142857143,7,6,We had a muster in by the Google.,He heard them whispering by the door.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08579_L0225_E001.pt
S08582_L0215_E001,outside in the open air it was glorious,in the open air it was glorious,87.5,8,7,"Outside, in the open air, it was glorious.","Outside, in the open air, it was glorious.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08582_L0215_E001.pt
S08594_L0225_E001,i can't keep my cool and he does rattle me,i can't speak my thoughts,30.0,10,3,I can't keep my clean if he does nothing.,I can't keep my cool and he does rattle me.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08594_L0225_E001.pt
S08594_L0231_E001,i can't keep my cool and he does rattle me,i can't keep my ,40.0,10,4,I can't keep my clean because it does wreck the lens.,I can't keep my cool and he does rattle me.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08594_L0231_E001.pt
S08600_L0227_E001,i could swear i see it breathing,i could swear,42.8571428571,7,3,I could swear I saw it breathing.,I could swear I see it breathing.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08600_L0227_E001.pt
S08606_L0224_E001,it has in fact a complete absence of energy,he had been sat,0.0,9,0,It has the effect of complete absence of energy.,It has in fact a complete absence of energy.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08606_L0224_E001.pt
S08614_L0218_E001,replace the paper and the lid and cook another hour,place the on the lid and take,40.0,10,4,Whip until stiff peaks form. Whip until stiff peaks form. Whip until stiff peaks form.,Replace the paper and the lid and cook another hour.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08614_L0218_E001.pt
S08625_L0200_E001,i'm not your enemy you can trust me,i met your you can trust me,62.5,8,5,"I'm not your enemy, you can trust me.","I'm not your enemy, you can trust me.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08625_L0200_E001.pt
S08627_L0219_E001,but there had to be something they could do,,0.0,9,0,But I have some stuff in my hand.,But there had to be something they could do.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08627_L0219_E001.pt
S08628_L0243_E001,someone is going to be very disappointed,someone is going to be very disappointed ,100.0,7,7,Someone is going to be very disappointed.,Someone is going to be very disappointed.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08628_L0243_E001.pt
S08636_L0243_E001,you won't try to persuade me not to,you won't try to persuade me not to,100.0,8,8,You won't try to persuade me not to.,You won't try to persuade me not to.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08636_L0243_E001.pt
S08637_L0222_E001,this is the essence of the algorithm above,this is the essence of the algorithm above,100.0,8,8,This is the essence of the algorithm above.,This is the essence of the algorithm above.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08637_L0222_E001.pt
S08644_L0219_E001,i was beginning to think you weren't coming,i was beginning to think you wasn't coming,87.5,8,7,That was beginning to think you weren't coming.,I was beginning to think you weren't coming.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08644_L0219_E001.pt
S08644_L0225_E001,i was beginning to think you weren't coming,i was beginning to think you weren't coming,100.0,8,8,It's beginning to think you weren't coming.,I was beginning to think you weren't coming.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08644_L0225_E001.pt
S08645_L0240_E001,no one came on as a sub did they,no one came on as a sub did they ,100.0,9,9,No one came on as a sock to break.,No one came on as a sub did they?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08645_L0240_E001.pt
S08651_L0215_E001,there wouldn't be any room for us to be us,there wouldn't be any room for us,70.0,10,7,There wouldn't be any room for us to be us.,There wouldn't be any room for us to be us.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08651_L0215_E001.pt
S08652_L0219_E001,you were late by half an hour this afternoon,,0.0,9,0,You are late by half an hour for the Swift Trial.,You were late by half an hour this afternoon.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08652_L0219_E001.pt
S08653_L0231_E001,attached was a note giving his name,attached was his given name ,42.8571428571,7,3,Attach the,Attached was a note giving his name.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08653_L0231_E001.pt
S08658_L0239_E001,inevitably novelty is confused with genuine innovation,,0.0,7,0,"Inevitably, novelty has been pleased with genuine innovation.","Inevitably, novelty is confused with genuine innovation.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08658_L0239_E001.pt
S08660_L0231_E001,now that has all been sunk without trace,now that has all been sunk without trace,100.0,8,8,Now that was all being sung without trace.,Now that has all been sunk without trace.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08660_L0231_E001.pt
S08682_L0217_E001,without another word the doctor strode into the darkness,doctor,11.1111111111,9,1,"In other words, the doctor has turned into the darkness.","Without another word, the doctor strode into the darkness.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08682_L0217_E001.pt
S08683_L0224_E001,the distinction however is little more than skin deep,,0.0,9,0,"The distinction, however, was little more than skin.","The distinction, however, is little more than skin deep.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08683_L0224_E001.pt
S08685_L0240_E001,you haven't gone and fallen have you,now ,0.0,7,0,The graphic on this one...,"You haven't gone and fallen, have you?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08685_L0240_E001.pt
S08686_L0239_E001,you must find a squat for yourself,,0.0,7,0,The end.,You must find a squat for yourself.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08686_L0239_E001.pt
S08689_L0239_E001,she had to get rid of him,you have to,14.2857142857,7,1,She has to get rid of him.,She had to get rid of him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08689_L0239_E001.pt
S08690_L0227_E001,he doesn't like his photograph being taken,he doesn't like his photograph being taken,100.0,7,7,He doesn't like his photograph being taken.,He doesn't like his photograph being taken.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08690_L0227_E001.pt
S08702_L0201_E001,couldn't do it without you you know,,0.0,7,0,Couldn't do it without you.,"Couldn't do it without you, you know.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08702_L0201_E001.pt
S08703_L0229_E001,we had an agreement and she broke it,we had an agreement,50.0,8,4,Who has an agreement? I'm sure you have.,"We had an agreement, and she broke it.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08703_L0229_E001.pt
S08707_L0215_E001,be as realistic and objective as you can,,0.0,8,0,The end.,Be as realistic and objective as you can.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08707_L0215_E001.pt
S08710_L0243_E001,but the consumer could benefit still further,,0.0,7,0,Thanks for watching!,But the consumer could benefit still further.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08710_L0243_E001.pt
S08723_L0201_E001,it made you feel pretty peculiar didn't it,it made,25.0,8,2,"It made you feel pretty computer-y, didn't it?","It made you feel pretty peculiar, didn't it?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08723_L0201_E001.pt
S08725_L0217_E001,the essence of the craftsman will never leave the work,the essence of will never lose the work,70.0,10,7,The essence of the craftsman will never lose the work.,The essence of the craftsman will never leave the work.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08725_L0217_E001.pt
S08727_L0224_E001,but it was always so hot in the centre,,0.0,9,0,But it was always so hot in the center.,But it was always so hot in the centre.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08727_L0224_E001.pt
S08732_L0200_E001,and we need your help with the survey,,0.0,8,0,"We need your help, sir.",And we need your help with the survey.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08732_L0200_E001.pt
S08732_L0240_E001,and we need your help with the survey,we need your help with the survey,87.5,8,7,"We need your help, sir.",And we need your help with the survey.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08732_L0240_E001.pt
S08739_L0236_E001,could you please at least tell them it's quite urgent,it was tough,0.0,10,0,Could you please at least tell me it's quite urgent?,Could you please at least tell them it's quite urgent?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08739_L0236_E001.pt
S08742_L0229_E001,do they make much fuss about that,you much fuss,28.5714285714,7,2,Do they make much fuss about it?,Do they make much fuss about that?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08742_L0229_E001.pt
S08743_L0222_E001,wear old clothes and bring a hammer,,0.0,7,0,"Well, old clothes and then a hammer.",Wear old clothes and bring a hammer.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08743_L0222_E001.pt
S08745_L0218_E001,afterwards we could look round at leisure,afterwards at leisure ,42.8571428571,7,3,"Afterwards, we could look round at leisure.","Afterwards, we could look round at leisure.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08745_L0218_E001.pt
S08745_L0221_E001,afterwards we could look round at leisure,afterwards we could look round at leisure,100.0,7,7,"Afterwards, we could look round at leisure.","Afterwards, we could look round at leisure.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08745_L0221_E001.pt
S08750_L0222_E001,we would like you to keep it,we would like to,57.1428571429,7,4,We would like you to keep it.,We would like you to keep it.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08750_L0222_E001.pt
S08751_L0229_E001,the agency however has promised that he'll be in touch,,0.0,10,0,The End,"The agency, however, has promised that he'll be in touch.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08751_L0229_E001.pt
S08752_L0209_E001,and will you be happy to go,have you to go,42.8571428571,7,3,Sound of water running.,And will you be happy to go?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08752_L0209_E001.pt
S08753_L0219_E001,i was afraid she would die there and then,,0.0,9,0,I was afraid you would die there.,I was afraid she would die there and then.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08753_L0219_E001.pt
S08753_L0225_E001,i was afraid she would die there and then,i was afraid you had die,44.4444444444,9,4,I was afraid she would die there.,I was afraid she would die there and then.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08753_L0225_E001.pt
S08759_L0216_E001,they never seem to be having a great time,,0.0,9,0,Sizzling,They never seem to be having a great time.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08759_L0216_E001.pt
S08765_L0201_E001,gloria took the part of the elder princess,gloria,12.5,8,1,Gloria took the heart of the Elden Princess.,Gloria took the part of the elder princess.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08765_L0201_E001.pt
S08766_L0201_E001,it is not made by the local authority,was not known by the local authorities,50.0,8,4,This is not made by the local repair team.,It is not made by the local authority.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08766_L0201_E001.pt
S08767_L0206_E001,how come you know he's not in anyway,,0.0,8,0,Thanks for watching!,How come you know he's not in anyway?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08767_L0206_E001.pt
S08778_L0212_E001,it's no good fooling yourself is it,,0.0,7,0,The end.,"It's no good fooling yourself, is it?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08778_L0212_E001.pt
S08778_L0221_E001,it's no good fooling yourself is it,is it,28.5714285714,7,2,Thanks for watching!,"It's no good fooling yourself, is it?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08778_L0221_E001.pt
S08779_L0212_E001,i was just rather rude to you,i was just rather rude to you,100.0,7,7,I'll just just wrap a new tube.,I was just rather rude to you.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08779_L0212_E001.pt
S08779_L0221_E001,i was just rather rude to you,i would just rather read to you,71.4285714286,7,5,I was just wondering too.,I was just rather rude to you.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08779_L0221_E001.pt
S08780_L0206_E001,just tell me what i need to know,just tell me what i need to know,100.0,8,8,Just tell me what I need to know.,Just tell me what I need to know.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08780_L0206_E001.pt
S08780_L0212_E001,just tell me what i need to know,just tell me what i need to know,100.0,8,8,Just tell me what I need to know.,Just tell me what I need to know.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08780_L0212_E001.pt
S08781_L0201_E001,his smile was wry and full of understanding,he smiled at,0.0,8,0,You smile just right. I'm understanding.,His smile was wry and full of understanding.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08781_L0201_E001.pt
S08782_L0243_E001,then everything was forgotten except the moment,then everything was forgotten except the ,85.7142857143,7,6,Then everything was forgotten except the murders.,Then everything was forgotten except the moment.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08782_L0243_E001.pt
S08785_L0224_E001,apart from one plump couple they were all men,apart from one they were all men,77.7777777778,9,7,The Hawson 1 is coming for the whole moon.,"Apart from one plump couple, they were all men.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08785_L0224_E001.pt
S08790_L0240_E001,what do you know about the rest of the castle,what do you know about the rest of the parcel,90.0,10,9,What do you know about the rest of the castle?,What do you know about the rest of the castle?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08790_L0240_E001.pt
S08791_L0200_E001,you were watching me all the time,all of the time,28.5714285714,7,2,You are watching All the Time.,You were watching me all the time.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08791_L0200_E001.pt
S08791_L0240_E001,you were watching me all the time,you were watching all the time ,85.7142857143,7,6,You were watching me all the time.,You were watching me all the time.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08791_L0240_E001.pt
S08793_L0217_E001,and it would matter to james too,change,0.0,7,0,The end of the,And it would matter to James too.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08793_L0217_E001.pt
S08794_L0216_E001,that is what society is all about isn't it,that is what society is all about isn't it,100.0,9,9,"That is what society is all about, isn't it?","That is what society is all about, isn't it?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08794_L0216_E001.pt
S08798_L0229_E001,be so kind as to answer me,,0.0,7,0,Thanks for watching!,Be so kind as to answer me.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08798_L0229_E001.pt
S08800_L0243_E001,closed from end of october to beginning of march,begin ,0.0,9,0,The floor is on under the table to begin with.,Closed from end of October to beginning of March.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08800_L0243_E001.pt
S08809_L0224_E001,he saw the humorous side even of the slump,,0.0,9,0,"This is a humorous sound, even at the slowest.","He saw the humorous side, even of the slump.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08809_L0224_E001.pt
S08816_L0215_E001,and what do you know he bit out thickly,and what is easy now,22.2222222222,9,2,And what do you know about Christmas?,And what do you know? He bit out thickly.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08816_L0215_E001.pt
S08817_L0243_E001,i must have that photograph he said,i must have that photograph he said ,100.0,7,7,I must have that photograph.,"I must have that photograph, he said.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08817_L0243_E001.pt
S08818_L0227_E001,still you know what they say daddy,still you know what they say then,85.7142857143,7,6,"Still, you know what they're saying, Daddy?","Still, you know what they say, Daddy?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08818_L0227_E001.pt
S08820_L0212_E001,a spurious contrast effect is provided in the opening paragraph,,0.0,10,0,The series contract is provided in the following form.,A spurious contrast effect is provided in the opening paragraph.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08820_L0212_E001.pt
S08820_L0221_E001,a spurious contrast effect is provided in the opening paragraph,contrast effect is provided,40.0,10,4,The Serious Contraptor is providing the mobile power.,A spurious contrast effect is provided in the opening paragraph.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08820_L0221_E001.pt
S08836_L0242_E001,i'm sorry but can we get one thing straight,one thing straight,33.3333333333,9,3,"And so it began, once and for all.",I'm sorry but can we get one thing straight?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08836_L0242_E001.pt
S08837_L0243_E001,is this because they think they are without inhumane behaviour,is this because they think they are without behaviour ,90.0,10,9,Is this because they think they are without inhumane behaviour?,Is this because they think they are without inhumane behaviour?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08837_L0243_E001.pt
S08843_L0215_E001,but it's only just gone four o'clock,,0.0,7,0,The,But it's only just gone four o'clock.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08843_L0215_E001.pt
S08844_L0219_E001,now come down and have a drink,,0.0,7,0,"Now, come down and have a drink.",Now come down and have a drink.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08844_L0219_E001.pt
S08844_L0225_E001,now come down and have a drink,my hands are out,0.0,7,0,"Now, I'm going to cut the top of the tree.",Now come down and have a drink.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08844_L0225_E001.pt
S08853_L0219_E001,that i think is a healthy enough attitude,that i think is a healthy enough attitude,100.0,8,8,"That, I think, is a healthy enough attitude.","That, I think, is a healthy enough attitude.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08853_L0219_E001.pt
S08862_L0217_E001,he was very good with them as the phrase went,he,10.0,10,1,The end.,He was very good with them as the phrase went.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08862_L0217_E001.pt
S08869_L0206_E001,but he would not be following or watching her,he will not be following her or watching her,77.7777777778,9,7,But he would not be following or watching her.,But he would not be following or watching her.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08869_L0206_E001.pt
S08875_L0239_E001,somehow it was hard to imagine him in the gym,doesn't,0.0,10,0,Sound of engine.,Somehow it was hard to imagine him in the gym.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08875_L0239_E001.pt
S08887_L0218_E001,but he'll get it first thing in the morning,,0.0,9,0,Thanks for watching!,But he'll get it first thing in the morning.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08887_L0218_E001.pt
S08887_L0221_E001,but he'll get it first thing in the morning,,0.0,9,0,Thanks for watching!,But he'll get it first thing in the morning.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08887_L0221_E001.pt
S08889_L0200_E001,this was a real answer to prayer,this is a real answer to prayer,85.7142857143,7,6,This was a real answer to prayer.,This was a real answer to prayer.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08889_L0200_E001.pt
S08889_L0240_E001,this was a real answer to prayer,this was a real answer to prayer,100.0,7,7,This was a real answer to prayer.,This was a real answer to prayer.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08889_L0240_E001.pt
S08890_L0216_E001,you are like children playing a game,you are like,42.8571428571,7,3,We will have children playing with this.,You are like children playing a game.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08890_L0216_E001.pt
S08895_L0236_E001,there won't be another for an hour she cried,,0.0,9,0,The end.,"There won't be another for an hour, she cried.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08895_L0236_E001.pt
S08901_L0224_E001,i hold your hand and you hold mine,i hold your hand and you hold mine,100.0,8,8,I hold your hand and you hold mine.,I hold your hand and you hold mine.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08901_L0224_E001.pt
S08903_L0222_E001,however there was one small but significant error,,0.0,8,0,The end.,"However, there was one small but significant error.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08903_L0222_E001.pt
S08905_L0225_E001,don't you yet understand boy what you mean to me,understand easily,10.0,10,1,"Don't you yet understand, boy, what you mean to me?","Don't you yet understand, boy, what you mean to me?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08905_L0225_E001.pt
S08905_L0231_E001,don't you yet understand boy what you mean to me,do you not understand long term what you mean to me ,70.0,10,7,"Don't you yet understand, boy, what you mean to me?","Don't you yet understand, boy, what you mean to me?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08905_L0231_E001.pt
S08911_L0243_E001,she felt ashamed of being such a failure,,0.0,8,0,The end.,She felt ashamed of being such a failure.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08911_L0243_E001.pt
S08916_L0236_E001,and we both know that force wouldn't be necessary,there were those,0.0,9,0,The feedback from the other folks wouldn't be necessary.,And we both know that force wouldn't be necessary.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08916_L0236_E001.pt
S08922_L0236_E001,why don't you stay sunday as well,why did they say,14.2857142857,7,1,1% Sun.,Why don't you stay Sunday as well?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08922_L0236_E001.pt
S08923_L0236_E001,this is a classic sauce to serve with fish,this was a classic sauce to,55.5555555556,9,5,This is a classic sauce to serve with fish.,This is a classic sauce to serve with fish.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08923_L0236_E001.pt
S08929_L0243_E001,i think it's a good reason for not getting married,,0.0,10,0,The end.,I think it's a good reason for not getting married.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08929_L0243_E001.pt
S08931_L0217_E001,she was great fun charming and kind says a friend,she was great fun charming and kind said her friends,70.0,10,7,"She was great fun, charming and kind, said a friend.","She was great fun, charming and kind, says a friend.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08931_L0217_E001.pt
S08935_L0216_E001,what did you do with the screen,what,14.2857142857,7,1,The end.,What did you do with the screen?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08935_L0216_E001.pt
S08939_L0222_E001,all are appointed by the lord chancellor,,0.0,7,0,The program will be played on the sponsor.,All are appointed by the Lord Chancellor.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08939_L0222_E001.pt
S08943_L0201_E001,the door to his office was always open,,0.0,8,0,The goal is to sound this is moving sense.,The door to his office was always open.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08943_L0201_E001.pt
S08949_L0231_E001,you would have to question whether she is genuine,you have to question is she genuine ,66.6666666667,9,6,You would have to question whether she was genuine.,You would have to question whether she is genuine.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08949_L0231_E001.pt
S08950_L0231_E001,the answer is likely to be in the kitchen,the answer is likely to be in the kitchen ,100.0,9,9,The answer is likely to be in the future.,The answer is likely to be in the kitchen.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08950_L0231_E001.pt
S08952_L0215_E001,it is not business as usual with china,,0.0,8,0,Just know that this is your child. It's a child.,It is not business as usual with China.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08952_L0215_E001.pt
