signal,prompt,human_response,human_correctness,n_words,hits,transcript_enhanced,wcs,correct_words,transcript_clean,hidden_file
S08682_L0217_E001,without another word the doctor strode into the darkness,doctor,11.1111111111,9,1,"In other words, the doctor has turned into the darkness.",55.55555555555556,the doctor into the darkness,"Without another word, the doctor strode into the darkness.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08682_L0217_E001.pt
S08683_L0224_E001,the distinction however is little more than skin deep,,0.0,9,0,"The distinction, however, was little more than skin.",77.77777777777777,the distinction however little more than skin,"The distinction, however, is little more than skin deep.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08683_L0224_E001.pt
S08685_L0240_E001,you haven't gone and fallen have you,now ,0.0,7,0,The graphic on this one...,0.0,,"You haven't gone and fallen, have you?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08685_L0240_E001.pt
S08686_L0239_E001,you must find a squat for yourself,,0.0,7,0,The end.,0.0,,You must find a squat for yourself.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08686_L0239_E001.pt
S08689_L0239_E001,she had to get rid of him,you have to,14.2857142857,7,1,She has to get rid of him.,85.71428571428571,she to get rid of him,She had to get rid of him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08689_L0239_E001.pt
S08690_L0227_E001,he doesn't like his photograph being taken,he doesn't like his photograph being taken,100.0,7,7,He doesn't like his photograph being taken.,100.0,he doesn't like his photograph being taken,He doesn't like his photograph being taken.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08690_L0227_E001.pt
S08702_L0201_E001,couldn't do it without you you know,,0.0,7,0,Couldn't do it without you.,71.42857142857143,couldn't do it without you,"Couldn't do it without you, you know.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08702_L0201_E001.pt
S08703_L0229_E001,we had an agreement and she broke it,we had an agreement,50.0,8,4,Who has an agreement? I'm sure you have.,25.0,an agreement,"We had an agreement, and she broke it.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08703_L0229_E001.pt
S08707_L0215_E001,be as realistic and objective as you can,,0.0,8,0,The end.,0.0,,Be as realistic and objective as you can.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08707_L0215_E001.pt
S08710_L0243_E001,but the consumer could benefit still further,,0.0,7,0,Thanks for watching!,0.0,,But the consumer could benefit still further.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08710_L0243_E001.pt
S08723_L0201_E001,it made you feel pretty peculiar didn't it,it made,25.0,8,2,"It made you feel pretty computer-y, didn't it?",87.5,it made you feel pretty didn't it,"It made you feel pretty peculiar, didn't it?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08723_L0201_E001.pt
S08725_L0217_E001,the essence of the craftsman will never leave the work,the essence of will never lose the work,70.0,10,7,The essence of the craftsman will never lose the work.,90.0,the essence of the craftsman will never the work,The essence of the craftsman will never leave the work.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08725_L0217_E001.pt
S08727_L0224_E001,but it was always so hot in the centre,,0.0,9,0,But it was always so hot in the center.,88.88888888888889,but it was always so hot in the,But it was always so hot in the centre.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08727_L0224_E001.pt
S08732_L0200_E001,and we need your help with the survey,,0.0,8,0,"We need your help, sir.",50.0,we need your help,And we need your help with the survey.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08732_L0200_E001.pt
S08732_L0240_E001,and we need your help with the survey,we need your help with the survey,87.5,8,7,"We need your help, sir.",50.0,we need your help,And we need your help with the survey.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08732_L0240_E001.pt
S08739_L0236_E001,could you please at least tell them it's quite urgent,it was tough,0.0,10,0,Could you please at least tell me it's quite urgent?,90.0,could you please at least tell it's quite urgent,Could you please at least tell them it's quite urgent?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08739_L0236_E001.pt
S08742_L0229_E001,do they make much fuss about that,you much fuss,28.5714285714,7,2,Do they make much fuss about it?,85.71428571428571,do they make much fuss about,Do they make much fuss about that?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08742_L0229_E001.pt
S08743_L0222_E001,wear old clothes and bring a hammer,,0.0,7,0,"Well, old clothes and then a hammer.",71.42857142857143,old clothes and a hammer,Wear old clothes and bring a hammer.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08743_L0222_E001.pt
S08745_L0218_E001,afterwards we could look round at leisure,afterwards at leisure ,42.8571428571,7,3,"Afterwards, we could look round at leisure.",100.0,afterwards we could look round at leisure,"Afterwards, we could look round at leisure.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08745_L0218_E001.pt
S08745_L0221_E001,afterwards we could look round at leisure,afterwards we could look round at leisure,100.0,7,7,"Afterwards, we could look round at leisure.",100.0,afterwards we could look round at leisure,"Afterwards, we could look round at leisure.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08745_L0221_E001.pt
S08750_L0222_E001,we would like you to keep it,we would like to,57.1428571429,7,4,We would like you to keep it.,100.0,we would like you to keep it,We would like you to keep it.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08750_L0222_E001.pt
S08751_L0229_E001,the agency however has promised that he'll be in touch,,0.0,10,0,The End,10.0,the,"The agency, however, has promised that he'll be in touch.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08751_L0229_E001.pt
S08752_L0209_E001,and will you be happy to go,have you to go,42.8571428571,7,3,Sound of water running.,0.0,,And will you be happy to go?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08752_L0209_E001.pt
S08753_L0219_E001,i was afraid she would die there and then,,0.0,9,0,I was afraid you would die there.,66.66666666666667,i was afraid would die there,I was afraid she would die there and then.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08753_L0219_E001.pt
S08753_L0225_E001,i was afraid she would die there and then,i was afraid you had die,44.4444444444,9,4,I was afraid she would die there.,77.77777777777777,i was afraid she would die there,I was afraid she would die there and then.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08753_L0225_E001.pt
S08759_L0216_E001,they never seem to be having a great time,,0.0,9,0,Sizzling,0.0,,They never seem to be having a great time.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08759_L0216_E001.pt
S08765_L0201_E001,gloria took the part of the elder princess,gloria,12.5,8,1,Gloria took the heart of the Elden Princess.,75.0,gloria took the of the princess,Gloria took the part of the elder princess.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08765_L0201_E001.pt
S08766_L0201_E001,it is not made by the local authority,was not known by the local authorities,50.0,8,4,This is not made by the local repair team.,75.0,is not made by the local,It is not made by the local authority.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08766_L0201_E001.pt
S08767_L0206_E001,how come you know he's not in anyway,,0.0,8,0,Thanks for watching!,0.0,,How come you know he's not in anyway?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08767_L0206_E001.pt
S08778_L0212_E001,it's no good fooling yourself is it,,0.0,7,0,The end.,0.0,,"It's no good fooling yourself, is it?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08778_L0212_E001.pt
S08778_L0221_E001,it's no good fooling yourself is it,is it,28.5714285714,7,2,Thanks for watching!,0.0,,"It's no good fooling yourself, is it?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08778_L0221_E001.pt
S08779_L0212_E001,i was just rather rude to you,i was just rather rude to you,100.0,7,7,I'll just just wrap a new tube.,14.285714285714286,just,I was just rather rude to you.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08779_L0212_E001.pt
S08779_L0221_E001,i was just rather rude to you,i would just rather read to you,71.4285714286,7,5,I was just wondering too.,42.857142857142854,i was just,I was just rather rude to you.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08779_L0221_E001.pt
S08780_L0206_E001,just tell me what i need to know,just tell me what i need to know,100.0,8,8,Just tell me what I need to know.,100.0,just tell me what i need to know,Just tell me what I need to know.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08780_L0206_E001.pt
S08780_L0212_E001,just tell me what i need to know,just tell me what i need to know,100.0,8,8,Just tell me what I need to know.,100.0,just tell me what i need to know,Just tell me what I need to know.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08780_L0212_E001.pt
S08781_L0201_E001,his smile was wry and full of understanding,he smiled at,0.0,8,0,You smile just right. I'm understanding.,25.0,smile understanding,His smile was wry and full of understanding.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08781_L0201_E001.pt
S08782_L0243_E001,then everything was forgotten except the moment,then everything was forgotten except the ,85.7142857143,7,6,Then everything was forgotten except the murders.,85.71428571428571,then everything was forgotten except the,Then everything was forgotten except the moment.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08782_L0243_E001.pt
S08785_L0224_E001,apart from one plump couple they were all men,apart from one they were all men,77.7777777778,9,7,The Hawson 1 is coming for the whole moon.,0.0,,"Apart from one plump couple, they were all men.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08785_L0224_E001.pt
S08790_L0240_E001,what do you know about the rest of the castle,what do you know about the rest of the parcel,90.0,10,9,What do you know about the rest of the castle?,100.0,what do you know about the rest of the castle,What do you know about the rest of the castle?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08790_L0240_E001.pt
S08791_L0200_E001,you were watching me all the time,all of the time,28.5714285714,7,2,You are watching All the Time.,71.42857142857143,you watching all the time,You were watching me all the time.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08791_L0200_E001.pt
S08791_L0240_E001,you were watching me all the time,you were watching all the time ,85.7142857143,7,6,You were watching me all the time.,100.0,you were watching me all the time,You were watching me all the time.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08791_L0240_E001.pt
S08793_L0217_E001,and it would matter to james too,change,0.0,7,0,The end of the,0.0,,And it would matter to James too.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08793_L0217_E001.pt
S08794_L0216_E001,that is what society is all about isn't it,that is what society is all about isn't it,100.0,9,9,"That is what society is all about, isn't it?",100.0,that is what society is all about isn't it,"That is what society is all about, isn't it?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08794_L0216_E001.pt
S08798_L0229_E001,be so kind as to answer me,,0.0,7,0,Thanks for watching!,0.0,,Be so kind as to answer me.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08798_L0229_E001.pt
S08800_L0243_E001,closed from end of october to beginning of march,begin ,0.0,9,0,The floor is on under the table to begin with.,11.11111111111111,to,Closed from end of October to beginning of March.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08800_L0243_E001.pt
S08809_L0224_E001,he saw the humorous side even of the slump,,0.0,9,0,"This is a humorous sound, even at the slowest.",33.333333333333336,the humorous even,"He saw the humorous side, even of the slump.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08809_L0224_E001.pt
S08816_L0215_E001,and what do you know he bit out thickly,and what is easy now,22.2222222222,9,2,And what do you know about Christmas?,55.55555555555556,and what do you know,And what do you know? He bit out thickly.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08816_L0215_E001.pt
S08817_L0243_E001,i must have that photograph he said,i must have that photograph he said ,100.0,7,7,I must have that photograph.,71.42857142857143,i must have that photograph,"I must have that photograph, he said.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08817_L0243_E001.pt
S08818_L0227_E001,still you know what they say daddy,still you know what they say then,85.7142857143,7,6,"Still, you know what they're saying, Daddy?",71.42857142857143,still you know what daddy,"Still, you know what they say, Daddy?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08818_L0227_E001.pt
S08820_L0212_E001,a spurious contrast effect is provided in the opening paragraph,,0.0,10,0,The series contract is provided in the following form.,40.0,is provided in the,A spurious contrast effect is provided in the opening paragraph.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08820_L0212_E001.pt
S08820_L0221_E001,a spurious contrast effect is provided in the opening paragraph,contrast effect is provided,40.0,10,4,The Serious Contraptor is providing the mobile power.,20.0,is the,A spurious contrast effect is provided in the opening paragraph.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08820_L0221_E001.pt
S08836_L0242_E001,i'm sorry but can we get one thing straight,one thing straight,33.3333333333,9,3,"And so it began, once and for all.",0.0,,I'm sorry but can we get one thing straight?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08836_L0242_E001.pt
S08837_L0243_E001,is this because they think they are without inhumane behaviour,is this because they think they are without behaviour ,90.0,10,9,Is this because they think they are without inhumane behaviour?,100.0,is this because they think they are without inhumane behaviour,Is this because they think they are without inhumane behaviour?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08837_L0243_E001.pt
S08843_L0215_E001,but it's only just gone four o'clock,,0.0,7,0,The,0.0,,But it's only just gone four o'clock.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08843_L0215_E001.pt
S08844_L0219_E001,now come down and have a drink,,0.0,7,0,"Now, come down and have a drink.",100.0,now come down and have a drink,Now come down and have a drink.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08844_L0219_E001.pt
S08844_L0225_E001,now come down and have a drink,my hands are out,0.0,7,0,"Now, I'm going to cut the top of the tree.",14.285714285714286,now,Now come down and have a drink.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08844_L0225_E001.pt
S08853_L0219_E001,that i think is a healthy enough attitude,that i think is a healthy enough attitude,100.0,8,8,"That, I think, is a healthy enough attitude.",100.0,that i think is a healthy enough attitude,"That, I think, is a healthy enough attitude.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08853_L0219_E001.pt
S08862_L0217_E001,he was very good with them as the phrase went,he,10.0,10,1,The end.,10.0,the,He was very good with them as the phrase went.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08862_L0217_E001.pt
S08869_L0206_E001,but he would not be following or watching her,he will not be following her or watching her,77.7777777778,9,7,But he would not be following or watching her.,100.0,but he would not be following or watching her,But he would not be following or watching her.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08869_L0206_E001.pt
S08875_L0239_E001,somehow it was hard to imagine him in the gym,doesn't,0.0,10,0,Sound of engine.,0.0,,Somehow it was hard to imagine him in the gym.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08875_L0239_E001.pt
S08887_L0218_E001,but he'll get it first thing in the morning,,0.0,9,0,Thanks for watching!,0.0,,But he'll get it first thing in the morning.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08887_L0218_E001.pt
S08887_L0221_E001,but he'll get it first thing in the morning,,0.0,9,0,Thanks for watching!,0.0,,But he'll get it first thing in the morning.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08887_L0221_E001.pt
S08889_L0200_E001,this was a real answer to prayer,this is a real answer to prayer,85.7142857143,7,6,This was a real answer to prayer.,100.0,this was a real answer to prayer,This was a real answer to prayer.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08889_L0200_E001.pt
S08889_L0240_E001,this was a real answer to prayer,this was a real answer to prayer,100.0,7,7,This was a real answer to prayer.,100.0,this was a real answer to prayer,This was a real answer to prayer.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08889_L0240_E001.pt
S08890_L0216_E001,you are like children playing a game,you are like,42.8571428571,7,3,We will have children playing with this.,28.571428571428573,children playing,You are like children playing a game.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08890_L0216_E001.pt
S08895_L0236_E001,there won't be another for an hour she cried,,0.0,9,0,The end.,0.0,,"There won't be another for an hour, she cried.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08895_L0236_E001.pt
S08901_L0224_E001,i hold your hand and you hold mine,i hold your hand and you hold mine,100.0,8,8,I hold your hand and you hold mine.,100.0,i hold your hand and you hold mine,I hold your hand and you hold mine.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08901_L0224_E001.pt
S08903_L0222_E001,however there was one small but significant error,,0.0,8,0,The end.,0.0,,"However, there was one small but significant error.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08903_L0222_E001.pt
S08905_L0225_E001,don't you yet understand boy what you mean to me,understand easily,10.0,10,1,"Don't you yet understand, boy, what you mean to me?",100.0,don't you yet understand boy what you mean to me,"Don't you yet understand, boy, what you mean to me?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08905_L0225_E001.pt
